timestamp,user_id,event_type,event_value,device_id,ip_address,location,auth_result,resource_type,resource_name
2025-01-29 10:15:00,user_47,login,1,dev_47,10.0.0.9,Germany,success,system,auth_service
2025-01-02 13:56:00,user_32,login,1,dev_32,10.0.2.90,United States,success,system,auth_service
2025-01-19 23:30:00,user_08,phishing_click,1,dev_08,10.0.2.222,Canada,success,system,auth_service
2025-01-14 11:20:00,user_10,file_access,75,dev_10,10.0.4.251,Australia,success,file,confidential_report
2025-01-14 06:42:00,user_33,file_access,35,dev_33,10.0.0.19,Germany,success,file,confidential_report
2025-01-08 05:00:00,user_53,file_access,117,dev_53,10.0.5.4,Australia,success,file,confidential_report
2025-01-18 14:56:00,user_54,login,1,dev_54,10.0.0.143,United Kingdom,success,system,auth_service
2025-01-01 02:20:00,user_31,failed_login,1,dev_31,10.0.5.93,United Kingdom,failure,system,auth_service
2025-01-03 04:07:00,user_19,login,1,dev_19,10.0.3.179,India,success,system,auth_service
2025-01-16 10:49:00,user_28,file_access,122,dev_28,10.0.5.34,India,success,file,confidential_report
2025-01-19 00:58:00,user_02,login,1,dev_02,10.0.5.218,Australia,success,system,auth_service
2025-01-20 01:57:00,user_42,failed_login,1,dev_42,10.0.5.212,United States,failure,system,auth_service
2025-01-24 20:37:00,user_17,file_access,195,dev_17,10.0.3.94,India,success,file,confidential_report
2025-01-10 22:57:00,user_29,login,1,dev_29,10.0.3.74,Japan,success,system,auth_service
2025-01-09 14:31:00,user_39,login,1,dev_39,10.0.2.101,United States,success,system,auth_service
2025-01-24 04:02:00,user_21,login,1,dev_21,10.0.1.238,India,success,system,auth_service
2025-01-22 02:37:00,user_46,password_reset,1,dev_46,10.0.3.208,United Kingdom,success,system,auth_service
2025-01-30 00:40:00,user_46,login,1,dev_46,10.0.2.22,Germany,success,system,auth_service
2025-01-10 22:17:00,user_23,password_reset,1,dev_23,10.0.0.50,Australia,success,system,auth_service
2025-01-28 20:58:00,user_23,login,1,dev_23,10.0.5.79,United Kingdom,success,system,auth_service
2025-01-09 18:22:00,user_22,login,1,dev_22,10.0.0.189,Australia,success,system,auth_service
2025-01-09 19:30:00,user_21,login,1,dev_21,10.0.0.56,Canada,success,system,auth_service
2025-01-16 21:22:00,user_35,failed_login,1,dev_35,10.0.4.72,Japan,failure,system,auth_service
